Params,Total Accuracy,Accuracy per label,Max val list,Max str list,Label str,Total_Accuracy,Accuracy_per_label,Max_val_list,Max_str_list,Label_str,Matrice
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(1)', 'KNN(5)', 'Normalized', 'All Raman Regions']",,,,,,0.1061246040126716,"[13.0, 14.0, 14.0, 10.0, 12.0, 7.0, 3.0, 3.0]","[37.0, 39.0, 48.0, 35.0, 34.0, 24.0, 28.0, 31.0]","['SN', 'GPe', 'GPe', 'GPe', 'GPe', 'STN', 'GPi', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 35  66  96  30   8   1   1  26]
 [113  39  55  43  10   4   7  17]
 [211  79  64  36  11   1   3  39]
 [120  82  46  34   2  17   5  33]
 [ 29  20  15   1  10   0   1  10]
 [ 16  16  10  23   0   7  13  12]
 [ 24  35  19  20   1  14   4   6]
 [ 78  57  51  45   4   8   3   8]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(1)', 'KNN(10)', 'Normalized', 'All Raman Regions']",,,,,,0.12249208025343189,"[6.0, 11.0, 25.0, 13.0, 8.0, 8.0, 2.0, 4.0]","[40.0, 32.0, 33.0, 24.0, 45.0, 37.0, 22.0, 31.0]","['SN', 'GPe', 'GPe', 'GPe', 'SN', 'STN', 'STN', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 17  66 106  31  10   0   3  30]
 [ 93  32  63  56  12   7   7  18]
 [148  67 112  47  17   3   2  48]
 [ 81  71  76  44   1  24   9  33]
 [ 22  11  39   0   7   0   0   7]
 [  7  17   7  36   0   8  11  11]
 [ 18  23  21  27   2  19   3  10]
 [ 56  44  78  47   4   8   8   9]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(1)', 'KNN(30)', 'Normalized', 'All Raman Regions']",,,,,,0.13146779303062303,"[7.0, 11.0, 28.0, 10.0, 22.0, 7.0, 4.0, 4.0]","[45.0, 36.0, 33.0, 31.0, 31.0, 34.0, 24.0, 31.0]","['SN', 'GPe', 'GPe', 'GPi', 'SN', 'STN', 'GPi', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 18  81 118  18   8   0   2  18]
 [103  33  61  51   7   2   9  22]
 [146  58 123  42  10   4   3  58]
 [ 71 104  70  35   1  17  15  26]
 [ 21  18  27   0  19   0   0   1]
 [  3  22   5  33   0   7  22   5]
 [ 20  29  14  23   2  21   5   9]
 [ 60  49  80  29   3  12  12   9]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(3)', 'KNN(5)', 'Normalized', 'All Raman Regions']",,,,,,0.16473072861668428,"[17.0, 15.0, 25.0, 12.0, 35.0, 12.0, 9.0, 7.0]","[32.0, 44.0, 41.0, 36.0, 36.0, 33.0, 26.0, 31.0]","['SN', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 46  81  84  29   2   2   1  18]
 [127  43  39  44   8   4   4  19]
 [184  56 113  39   1   0   8  43]
 [122  64  51  40   1  20  13  28]
 [ 19  31   6   0  30   0   0   0]
 [  7  16   4  32   0  12  17   9]
 [  8  15  32  26   0  19  11  12]
 [ 79  46  45  42   1  14  10  17]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(3)', 'KNN(10)', 'Normalized', 'All Raman Regions']",,,,,,0.15997888067581836,"[9.0, 13.0, 30.0, 11.0, 35.0, 12.0, 12.0, 6.0]","[33.0, 37.0, 34.0, 29.0, 36.0, 41.0, 24.0, 23.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'caudate', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 23  86  83  47   2   1   1  20]
 [107  38  46  54   6   3   6  28]
 [150  46 133  37   1   4  14  59]
 [ 97  68  52  36   0  29  29  28]
 [ 21  31   4   0  30   0   0   0]
 [  1   9   1  40   0  12  25   9]
 [  5   8  27  27   0  30  15  11]
 [ 59  53  53  45   0  18  10  16]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(3)', 'KNN(30)', 'Normalized', 'All Raman Regions']",,,,,,0.17634635691657866,"[8.0, 14.0, 35.0, 10.0, 40.0, 10.0, 13.0, 10.0]","[32.0, 41.0, 29.0, 23.0, 33.0, 32.0, 28.0, 26.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPi', 'STN', 'STN', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 20  84  82  44   0   1   0  32]
 [117  39  40  48   5   4   4  31]
 [128  37 155  37   1   5  12  69]
 [ 73  78  66  34   0  27  27  34]
 [ 15  28   8   0  34   0   0   1]
 [  2   8   9  31   0  10  24  13]
 [  6   5  33  34   0  27  16   2]
 [ 49  36  65  53   0  15  10  26]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(8)', 'KNN(5)', 'Normalized', 'All Raman Regions']",,,,,,0.20908130939809927,"[19.0, 16.0, 32.0, 14.0, 64.0, 21.0, 13.0, 8.0]","[40.0, 52.0, 32.0, 27.0, 22.0, 31.0, 33.0, 26.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 50 105  47  41   0   0   1  19]
 [151  47  15  44   4   2   2  23]
 [141  34 142  46   0   2  21  58]
 [ 92  76  47  46   0  17  14  47]
 [ 11  19   1   0  55   0   0   0]
 [  4   8   2  30   0  20  26   7]
 [ 10  12  41  15   0  25  16   4]
 [ 67  46  51  53   0   9   8  20]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(8)', 'KNN(10)', 'Normalized', 'All Raman Regions']",,,,,,0.20221752903907075,"[15.0, 13.0, 32.0, 14.0, 64.0, 29.0, 15.0, 7.0]","[39.0, 49.0, 31.0, 24.0, 28.0, 28.0, 29.0, 26.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'SN', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 39 102  59  35   0   0   1  27]
 [142  38  17  59   3   3   4  22]
 [139  31 141  45   0   1  14  73]
 [ 82  75  53  46   0  18  27  38]
 [  7  24   0   0  55   0   0   0]
 [  3   5   4  27   0  28  26   4]
 [  8   7  36  16   0  31  18   7]
 [ 62  34  67  51   0  16   6  18]]"
"['smooth(3)', 'ALS(1, 1e-05)', 'PCA(8)', 'KNN(30)', 'Normalized', 'All Raman Regions']",,,,,,0.1932418162618796,"[14.0, 12.0, 31.0, 14.0, 50.0, 29.0, 15.0, 7.0]","[46.0, 52.0, 33.0, 25.0, 37.0, 28.0, 26.0, 27.0]","['GPi', 'GPe', 'GPe', 'GPi', 'GPi', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 37 120  55  19   0   0   0  32]
 [149  35  15  59   0   3   6  21]
 [145  29 138  47   0   3   7  75]
 [ 69  85  61  49   0  13  28  34]
 [ 11  32   0   0  43   0   0   0]
 [  1   8   2  27   0  28  25   6]
 [  8   7  32  29   0  26  19   2]
 [ 68  26  67  46   0  15  15  17]]"
"['smooth(3)', 'ALS(1, 0.0001)', 'PCA(1)', 'KNN(5)', 'Normalized', 'All Raman Regions']",,,,,,0.15417106652587118,"[17.0, 15.0, 21.0, 12.0, 66.0, 7.0, 2.0, 3.0]","[34.0, 36.0, 40.0, 28.0, 19.0, 40.0, 31.0, 28.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'STN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 44  90  86  20   7   1   5  10]
 [105  42  68  30  14   5   9  15]
 [176  92  93  37   3   1   3  39]
 [ 96  79  59  39   0  26  17  23]
 [ 11  16   2   0  57   0   0   0]
 [  7  18   2  39   0   7  15   9]
 [ 26  27   5  38   0  20   2   5]
 [ 71  54  53  45   0  18   5   8]]"
